消费,831075,6225 00** **** 0220,64.86元,2018/01/23   12:03:44
消费,831079,6225 00** **** 0220,20.09元,2018/01/23   12:07:25
消费,831080,6225 00** **** 0220,4.54元,2018/01/23   12:08:02
消费,831081,6225 00** **** 0220,71.77元,2018/01/23   12:08:39
消费,831082,6225 00** **** 0220,58.99元,2018/01/23   12:09:17
消费,831083,6225 00** **** 0220,81.92元,2018/01/23   12:09:54
消费,831084,6225 00** **** 0220,43.08元,2018/01/23   12:10:31
消费,831085,6225 00** **** 0220,62.88元,2018/01/23   12:11:08
消费,831086,6225 00** **** 0220,10.36元,2018/01/23   12:11:46
消费,831087,6225 00** **** 0220,26.16元,2018/01/23   12:12:24
消费,831088,6225 00** **** 0220,98.78元,2018/01/23   12:13:01
消费,831089,6225 00** **** 0220,10.33元,2018/01/23   12:13:39
消费,831090,6225 00** **** 0220,33.94元,2018/01/23   12:14:16
消费,831091,6225 00** **** 0220,11.42元,2018/01/23   12:14:54
消费,831092,6225 00** **** 0220,4.49元,2018/01/23   12:15:31
消费,831093,6225 00** **** 0220,81.40元,2018/01/23   12:16:08
消费,831094,6225 00** **** 0220,87.39元,2018/01/23   12:16:46
消费,831095,6225 00** **** 0220,89.60元,2018/01/23   12:17:23
消费,831096,6225 00** **** 0220,91.46元,2018/01/23   12:18:00
消费,831097,6225 00** **** 0220,54.91元,2018/01/23   12:18:38
消费,831098,6225 00** **** 0220,81.29元,2018/01/23   12:19:15
消费,831099,6225 00** **** 0220,57.84元,2018/01/23   12:19:53
消费,831100,6225 00** **** 0220,28.39元,2018/01/23   12:20:30
消费,831101,6225 00** **** 0220,40.89元,2018/01/23   12:21:07
消费,831102,6225 00** **** 0220,90.04元,2018/01/23   12:21:44
消费,831103,6225 00** **** 0220,0.05元,2018/01/23   12:22:20
消费,831104,6225 00** **** 0220,65.24元,2018/01/23   12:22:57
消费,831105,6225 00** **** 0220,69.73元,2018/01/23   12:23:34
消费,831106,6225 00** **** 0220,48.68元,2018/01/23   12:24:11
消费,831107,6225 00** **** 0220,12.41元,2018/01/23   12:24:48
消费,831108,6225 00** **** 0220,24.18元,2018/01/23   12:25:25
消费,831109,6225 00** **** 0220,87.10元,2018/01/23   12:26:03
消费,831110,6225 00** **** 0220,93.98元,2018/01/23   12:26:40
消费,831111,6225 00** **** 0220,98.14元,2018/01/23   12:27:18
消费,831112,6225 00** **** 0220,78.10元,2018/01/23   12:27:55
消费,831113,6225 00** **** 0220,75.58元,2018/01/23   12:28:32
